PUBMEDID,FIRST AUTHOR,CATEGORY,COUNTRY OF ORIGIN,COUNTRY OF RECRUITMENT,ADDITONAL ANCESTRY DESCRIPTION
29923122,Kakuta Y,East Asian,NR,Japan,Japanese
29915124,Marini S,European,NR,U.S.,
29915124,Marini S,European,NR,"Sweden, Spain",
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR",
29912962,Feitosa MF,African unspecified,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore",
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil","Hispanic, Brazilian"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, U.K.",
29912962,Feitosa MF,Hispanic or Latin American,NR,U.S.,
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore",
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil","Hispanic, Brazilian"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, Sri Lanka, U.K.",
29912962,Feitosa MF,Hispanic or Latin American,NR,U.S.,
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore",
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil","Hispanic, Brazilian"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, U.K.",
29912962,Feitosa MF,Hispanic or Latin American,NR,U.S.,
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore",
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil","Hispanic, Brazilian"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, Sri Lanka, U.K.",
29912962,Feitosa MF,Hispanic or Latin American,NR,U.S.,
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore",
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil","Hispanic, Brazilian"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, Sri Lanka, U.K.",
29912962,Feitosa MF,Hispanic or Latin American,NR,U.S.,
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore",
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil","Hispanic, Brazilian"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, U.K.",
29912962,Feitosa MF,Hispanic or Latin American,NR,U.S.,
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore",
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil",
29912962,Feitosa MF,European,NR,"France, Germany, Netherlands, Switzerland, Denmark, Estonia, U.S., Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, Sri Lanka, U.K.",
29912962,Feitosa MF,Hispanic or Latin American,NR,U.S.,
29915124,Marini S,European,NR,U.S.,
29915124,Marini S,European,NR,"Spain, Sweden",
29912962,Feitosa MF,European,NR,"Netherlands, Iceland, U.K., Croatia, U.S., NR",
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore",
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil","Hispanic, Brazilian"
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.,
