Common_name,Species_name,Infraclass,Order,N.O,Bs,Bcal,Height,Width,Mass,ECV,ModelVolume,AvgBodyMass
Checkered_elephant_shrew,Rhynchocyon_cernei,Placental,Macroscelidea,40.73,4.69,10.5,17.13,24.7,6.15,3.98,5.01,0.37
Tasmanian_Devil,Sarcophilus_satanicus,Marsupiala,Dasyuromorphia,64.74,20.22,32.37,29.09,41.76,18.66,12.09,22.97,7.375
Kashmir_flying_squirrel,Sciuropterus_volucella,Placental,Rodentia,27.29,5.47,11.88,12.85,16.87,3.14,2.03,1.8,0.6
Leaf_monkey,Semnopithecus_entellus,Placental,Primates,76.63,10.72,23.95,45.54,56.41,97.27,63.02,62.07,14.5
Stripe-faced_dunnart,Smithopsis_macroura,Marsupiala,Dasyuromorphia,16.2,3.61,7.2,6.5,10.27,0.46,0.3,0.34,0.018
Solenadon,Solenadon_cubanus_peters,Placental,Eulipotyphla,48.43,5.31,14.64,15.55,24.65,6.7,4.34,4.76,1
Common_shrew,Sorex_araneus,Placental,Eulipotyphla,10.32,1.35,2.5,5.03,8.84,0.11,0.07,0.18,0.01
Spotted_cuscus,Spilocuscus_maculatus,Marsupiala,Diprotodontia,65.79,15.85,30.81,24.8,34.78,20.63,13.36,14.63,4.5
Musk_shrew,Suncus_murinus,Placental,Eulipotyphla,24.38,4.95,10.04,7.08,11.48,0.76,0.49,0.51,2.5
Slender_squirrel,Sundasciurus_tenuis,Placental,Rodentia,27.25,5.39,11.17,13.07,18.07,3.09,2,2.04,0.075
Meerkat,Suricata_suricatta,Placental,Carnivorans,47.52,9.04,20.41,23.02,31.29,16.34,10.59,10.39,0.7
Bearded_pig,Sus_barbatus_mull,Placental,Artiodactyla,207.58,29.04,70.14,90.04,82.99,350.96,227.39,314.43,195
Wild_boar,Sus_scrofa,Placental,Artiodactyla,125.76,18.86,46.23,75.39,68.74,219.62,142.29,166.76,195
Short_nosed_echidna,Tachyglossus_actuleatus,Monotremata,Monotremata,49.85,13.2,26.67,26.29,47.47,39.79,25.78,23.38,4.75
East_african_mole_rat,Tachyoryctes_ibeanus,Placental,Rodentia,22.66,3.1,7.12,12.85,16.17,2.25,1.46,1.59,0.22
European_mole,Talpa_europea,Placental,Rodentia,22.3,4.9,9.39,9.2,15.69,1.33,0.86,1.07,0.093
Southern_Tamandua,Tamandua_tetradactyla,Placental,Pilosa,79.76,16.61,35.72,26.63,38.36,35.76,23.17,19.51,4.5
Eastern_chipmunk,Tamias_striatus,Placental,Rodentia,28.29,5.69,11.19,11.87,17.55,3.03,1.96,1.78,0.106
Tapir,Tapirus_indicus,Placental,Perissodactyla,206.48,41.3,94.62,122.39,98.53,570.74,369.78,567.31,235
tarsier,Tarsius_tarsius,Placental,Primates,31.32,4.46,10.01,16.81,22.25,4.03,2.61,3.85,0.315
White_lipped_peccary,Tayassu_pecari,Placental,Artiodactyla,129.48,23.33,50.22,76.62,66.22,258.01,167.16,161.33,35
Tail-less_tenrec,Tenrec_ecaudatus,Placental,Afrosoricida,43.8,6.99,12.16,15.93,21.11,3.5,2.27,3.7,2
Tasmanian_wolf,Thylacinus_cynocephalus,Marsupiala,Dasyuromorphia,107.59,26.03,47.26,44.35,51.6,78.35,50.76,58.1,22.5
Chevrotain,Tragulus_javanicus_gmel.,Placental,Artiodactyla,66.24,10.29,18.47,31.22,31.63,22.06,14.29,16.06,0.75
Bush_tailed_possum,Trichosaurus_vulpecula_vas_typica,Marsupiala,Diprotodontia,60.41,9.7,23.29,23.7,28.69,17.37,11.26,10.04,2.395
Northern_tree_shrew,Tupaia_belangeri,Placental,Scandentia,31.16,5.64,13.39,13.79,18.44,3.25,2.11,2.32,0.2
Tree_shrew,Tupaia_gris,Placental,Scandentia,32.9,5.53,10.92,14.73,19.83,4.92,3.19,2.84,0.2
Painted_tree_shrew,Tupaia_picta,Placental,Scandentia,32.15,6.55,10.82,13.95,20.33,4.9,3.17,2.77,0.2
Brown_bear,Ursus_arctos,Placental,Carnivorans,200.23,37.92,78.76,84.53,98.99,553.82,358.82,384.62,181
Sloth_bear,Ursus_ursinus,Placental,Carnivorans,179.7,36.6,83.66,75.51,95.48,467.23,302.72,312.5,100
Ruffled_lemur,Varecia_variegata,Placental,Rodentia,67.48,12.19,27.77,29.66,42.35,38.26,24.79,24.26,0.123
Rasse,Viverricula_malaccensis,Placental,Carnivorans,70.78,15.23,33.25,28.08,30.98,27.64,17.91,14.2,0.3
Wombat,Vombatus_ursinus,Marsupiala,Diprotodontia,67.05,24.92,47.46,44.99,54.15,87.53,56.71,55.18,25
Arctic_fox,Vulpes_lagopus,Placental,Carnivorans,70.36,15.95,31.33,37.72,45.09,59.32,38.43,34.88,5.2
Fox,Vulpes_vulpes,Placental,Carnivorans,80.73,14.71,37.47,39.45,47.96,74.94,48.55,42,9
Meadow_jumping_mouse,Zapus_hudsonis,Placental,Rodentia,13.54,2.08,6.35,7.13,9.24,0.55,0.36,0.3,0.017
